Row,Defect,Drilling_Stress,Milling_Stress,Assembly_Stress,Max_Stress,Most_Abnormal_Zone,Zone_Status,Likely_Zone,Zone_Confidence,Drilling_Probability,Milling_Probability,Assembly_Probability,Evidence
0,Crack,0.6752532666813598,0.6749490437028431,0.5187718948133382,0.6752532666813598,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1,Crack,1.2220846317150842,1.127935723234147,1.4897429575387395,1.4897429575387395,Assembly,Assembly,Assembly,Medium,0.36205987052586264,0.1647638929515894,0.473176236522548,Assembly stress = 1.49; Drilling stress = 1.22
2,Crack,1.215433888925696,1.125560551104512,1.4804879155251067,1.4804879155251067,Assembly,Assembly,Assembly,Medium,0.362249950852556,0.1655567319219605,0.4721933172254835,Assembly stress = 1.48; Drilling stress = 1.22
3,Crack,0.6415644651724226,0.5066186739819707,0.4560536339260852,0.6415644651724226,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
4,Crack,1.2675419065765627,0.8561862631841609,0.9105317430360368,1.2675419065765627,Drilling,Drilling,Drilling,Medium,0.4923341168266548,0.16314751006583414,0.34451837310751093,Drilling stress = 1.27; Assembly stress = 0.91
5,Crack,0.8397372710335396,0.7216483405221066,0.8392017810278734,0.8397372710335396,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
6,Crack,1.342897123453475,1.2477162816258207,1.6683838303300556,1.6683838303300556,Assembly,Assembly,Assembly,Medium,0.35219840964366084,0.16011089328150915,0.48769069707482987,Assembly stress = 1.67; Drilling stress = 1.34
7,Crack,0.8010683709898115,0.4457145775310133,0.7582941202673597,0.8010683709898115,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
8,Crack,1.1193366827378064,0.7247230762473628,0.8927620667584342,1.1193366827378064,Drilling,Drilling,Drilling,Low,0.46855305045944473,0.15788841398539802,0.3735585355551573,Drilling stress = 1.12; Assembly stress = 0.89
9,Crack,0.4610275661122603,0.5188025143593636,0.348982735092025,0.5188025143593636,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
10,Crack,1.0713092951554852,0.9854946803312976,1.2360370636634768,1.2360370636634768,Assembly,Assembly,Assembly,Low,0.379081627972581,0.17395380296192905,0.44696456906549004,Assembly stress = 1.24; Drilling stress = 1.07
11,Crack,0.2471871933433652,0.2956814062768694,0.7645347470678708,0.7645347470678708,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
12,Crack,0.3057410834564352,0.4879449015666691,0.6407277805290479,0.6407277805290479,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
13,Crack,1.013620255758498,0.9415247663763048,1.1286988053886438,1.1286988053886438,Assembly,Assembly,Assembly,Low,0.38652084528265596,0.17981762271175236,0.4336615320055917,Assembly stress = 1.13; Drilling stress = 1.01
14,Crack,1.3426991168183453,0.6007911604292946,0.916485315142346,1.3426991168183453,Drilling,Drilling,Drilling,Medium,0.5287986507929492,0.12590814084190954,0.3452932083651413,Drilling stress = 1.34; Assembly stress = 0.92
15,Crack,1.2373697255660954,1.1400649067074515,1.5161799675907073,1.5161799675907073,Assembly,Assembly,Assembly,Medium,0.36033487744753384,0.16346220716520427,0.47620291538726195,Assembly stress = 1.52; Drilling stress = 1.24
16,Crack,1.0137926963790165,0.6725924167150121,0.9188238095129956,1.0137926963790165,Drilling,Drilling,Drilling,Low,0.4415284952324503,0.15694494885148574,0.4015265559160639,Drilling stress = 1.01; Assembly stress = 0.92
17,Crack,1.1327103013768196,0.5369513628376512,0.8577064700275168,1.1327103013768196,Drilling,Drilling,Drilling,Medium,0.49136637962664337,0.135406846083862,0.3732267742894946,Drilling stress = 1.13; Assembly stress = 0.86
18,Crack,1.0928246641932755,1.0040435405269066,1.2661820191177935,1.2661820191177935,Assembly,Assembly,Assembly,Low,0.37781272911764596,0.17285798181774148,0.44932928906461267,Assembly stress = 1.27; Drilling stress = 1.09
19,Crack,0.5894413593788559,0.6183324748625287,0.4131027236426976,0.6183324748625287,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
20,Crack,1.168808392884025,1.4141231346412495,0.9209839824888082,1.4141231346412495,Milling,Milling,Drilling,Low,0.41330704403954716,0.2641080569350418,0.3225848990254111,Drilling stress = 1.17; Assembly stress = 0.92
21,Crack,1.088305625650178,0.5528444490587893,0.8850455262180017,1.088305625650178,Drilling,Drilling,Drilling,Low,0.4742110777708044,0.13880140592646928,0.38698751630272626,Drilling stress = 1.09; Assembly stress = 0.89
22,Crack,1.243364915877546,1.1467660532354556,1.5189209208004768,1.5189209208004768,Assembly,Assembly,Assembly,Medium,0.3608515159661951,0.16381217832527192,0.47533630570853297,Assembly stress = 1.52; Drilling stress = 1.24
23,Crack,0.4134323567392083,1.4246269886395535,0.815562468258902,1.4246269886395535,Milling,Milling,Assembly,Low,0.2584348404988389,0.355203564341091,0.3863615951600701,Assembly stress = 0.82; Milling stress = 1.42
24,Crack,0.5544289562148002,0.5902071458160763,0.3883215764081776,0.5902071458160763,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
25,Crack,1.3462552158057433,0.8513618509626417,0.909139852058264,1.3462552158057433,Drilling,Drilling,Drilling,Medium,0.5126325816504443,0.15625961583341977,0.3311078025161359,Drilling stress = 1.35; Assembly stress = 0.91
26,Crack,1.1351969509390962,1.0433367254025816,1.3280170092963983,1.3280170092963983,Assembly,Assembly,Assembly,Low,0.37470292305015834,0.1709081197531377,0.45438895719670386,Assembly stress = 1.33; Drilling stress = 1.14
27,Crack,0.2735029901596956,0.1551796041259955,0.3482014395433245,0.3482014395433245,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
