Product_Index,Batch_ID,Image,Folder_Label,Decision,Top_Class,Defect,YOLO_Confidence,P_Defect,Margin_Top1_Top2,Entropy,Type_Confidence,Novel_Flag,decision_reason,Temperature,Likely_Zone,Zone_Confidence,Zone_Status,Reason,Evidence,Drift_Flags,Run_Bottleneck_Zone,Run_Throughput_Loss_Pct,Run_WIP_Stored,Run_Profit,Run_Margin_Pct,Unit_Defect_Cost,WhatIf_A,WhatIf_B,WhatIf_A+Bcombined,Predicted_Margin_Pct,Recommendations,Localization_Supported,Localization_Box,Localization_Area,Localization_Image,Second_Zone,Probability_Gap,Drilling_Stress,Drilling_Contribution,Milling_Stress,Milling_Contribution,Assembly_Stress,Assembly_Contribution,Storage_Stress,Storage_Contribution
0,BATCH_0000,dataset_small_final\test\normal\normal_01104.png,normal,PASS,normal,normal,0.9993685958899938,0.0006314041100061729,0.9990731412926005,0.0036934558775343104,0.46793264838033843,False,Confidently normal.,1.0,N/A,N/A,N/A,Confidently normal.,,,Assembly,0.30481609428977846,247.0,436161.57499999995,37.06251366227016,0.0,26032.462500000023,0.0,26032.462500000023,36.942058453083895,"P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +26,032, margin +1.4 pts).",,,,,,,,,,,,,,
157,BATCH_0157,dataset_small_final\test\hole\hole_00142.png,hole,REJECT,hole,hole,0.9999994396929721,0.999999917998079,0.9999991680006902,5.787998212870782e-06,0.9999995216948541,False,Defect probability at or above the auto-reject threshold.,1.0,Drilling,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Drilling: utilization deviation=-1.67 SD, waiting-time deviation=-1.00 SD, combined stress=1.34; note: the strongest raw process deviation is in Assembly (1.67), but this defect type points mainly to Drilling",,Assembly,0.6613756613756614,12.0,128191.70000000001,36.08766887279259,137.5,10251.149999999994,0.0,10251.149999999994,36.72466808850995,"P1: [Drilling] Check drill-bit wear / tool life, feed and speed, and coolant flow; add an in-process hole-diameter check and consider parallel drilling capacity. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +10,251, margin +1.8 pts).",True,"(75, 75, 204, 255)",0.359039306640625,outputs\localization\product_157_hole.png,Assembly,0.5360971289544765,1.335058206651112,0.6825905103509071,1.2403179560406223,0.1432824439490634,1.6679454986427311,0.14649338139643067,0.0,0.02763366430359874
315,BATCH_0315,dataset_small_final\test\hole\hole_00479.png,hole,REJECT,hole,hole,0.9999965685597916,0.9999991785676132,0.9999945558400068,3.1240793568581676e-05,0.9999973899900343,False,Defect probability at or above the auto-reject threshold.,1.0,Drilling,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Drilling: utilization deviation=-1.31 SD, waiting-time deviation=-0.98 SD, combined stress=1.15; note: the strongest raw process deviation is in Assembly (1.35), but this defect type points mainly to Drilling",,Assembly,0.6839945280437756,220.0,247650.40000000002,36.0588005754256,137.5,19819.79999999999,0.0,19819.79999999999,36.93675666639223,"P1: [Drilling] Check drill-bit wear / tool life, feed and speed, and coolant flow; add an in-process hole-diameter check and consider parallel drilling capacity. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +19,820, margin +1.8 pts).",True,"(50, 100, 255, 200)",0.317474365234375,outputs\localization\product_315_hole.png,Milling,0.5416640877058663,1.1455863492121519,0.6868015996686881,1.0575596111998213,0.14513751196282185,1.3489047295799708,0.12948456199626343,0.1379818498332756,0.038576326372226584
473,BATCH_0473,dataset_small_final\test\crack\crack_02913.png,crack,REJECT,crack,crack,0.9999984768913951,0.9999999913556844,0.9999977169761277,1.4632715256445605e-05,0.9999984855356977,False,Defect probability at or above the auto-reject threshold.,1.0,Assembly,Medium,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Assembly: utilization deviation=-2.00 SD, waiting-time deviation=-1.34 SD, combined stress=1.67",,Assembly,0.8174386920980926,18.0,121951.0,35.64151274257657,150.0,10920.0,0.0,10920.0,36.685492303109626,"P1: [Assembly] Check press force / torque limits, part handling and fixturing; balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +10,920, margin +2.0 pts).",True,"(25, 25, 124, 100)",0.115966796875,outputs\localization\product_473_crack.png,Drilling,0.12855309758054445,1.3444396304389752,0.3359358758921774,1.2487100865551757,0.17443897453952242,1.6684571537330855,0.46448897347272183,0.004590389944255743,0.025136176095578455
631,BATCH_0631,dataset_small_final\test\scratch\scratch_02831.png,scratch,REJECT,scratch,scratch,0.9999980288133417,0.9999996871082257,0.9999970804547987,1.8837227467088608e-05,0.9999983417045971,False,Defect probability at or above the auto-reject threshold.,1.0,No clear contributing zone,Low,NOT_CLEAR,No production zone deviates strongly from the historical baseline.,Drilling=0.85; Milling=0.80; Assembly=0.80; Storage=0.00,,Assembly,2.3965141612200433,124.0,406574.0,36.96664969450102,62.50000000000001,12432.0,0.0,12432.0,35.95207407190003,"P2: No production zone stands out; inspect incoming material and handling before adjusting any process. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +12,432, margin +0.8 pts).",True,"(100, 125, 255, 199)",0.17852783203125,outputs\localization\product_631_scratch.png,,0.0,0.8452850901631794,,0.7990620719499403,,0.8031116044558917,,0.0,
789,BATCH_0789,dataset_small_final\test\normal\normal_01916.png,normal,PASS,normal,normal,0.9995459998292672,0.0004540001707328267,0.9992520325358778,0.0027030573944146945,0.6475048080155023,False,Confidently normal.,1.0,N/A,N/A,N/A,Confidently normal.,,,Assembly,0.13908205841446453,56.0,128032.45000000001,37.16897873631375,0.0,7619.774999999994,0.0,7619.774999999994,37.01457547049042,"P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +7,620, margin +1.4 pts).",,,,,,,,,,,,,,
947,BATCH_0947,dataset_small_final\test\rust\rust_01534.png,rust,REJECT,rust,rust,0.9999967018779391,0.9999997374158549,0.9999951245944949,3.0077571782996506e-05,0.9999969644612874,False,Defect probability at or above the auto-reject threshold.,1.0,Storage,High,ATTRIBUTED,Defect-specific prior combined with production-zone stress.,"Storage: storage dwell/WIP deviation=+0.00 SD, combined stress=0.00; note: the strongest raw process deviation is in Assembly (1.20), but this defect type points mainly to Storage",,Assembly,1.0584958217270195,51.0,320170.5,37.170346893285036,87.5,14652.0,0.0,14652.0,36.474295476872236,"P1: [Storage] Reduce dwell time between stages (FIFO, smaller buffers), and protect parts with humidity control or anti-corrosion packaging. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +14,652, margin +1.1 pts).",True,"(50, 100, 225, 255)",0.4189453125,outputs\localization\product_947_rust.png,Assembly,0.2817295017007171,1.0437624918179895,0.09551232800000506,0.9688771360332591,0.1772421989602455,1.1974458991738477,0.22275798566951618,0.0,0.5044874873702333
1104,BATCH_1104,dataset_small_final\test\crack\crack_00329.png,crack,REJECT,crack,crack,0.9999866941028155,0.9999994509410448,0.9999801046882215,0.00011064808899026874,0.9999872431547664,False,Defect probability at or above the auto-reject threshold.,1.0,No clear contributing zone,Low,NOT_CLEAR,No production zone deviates strongly from the historical baseline.,Drilling=0.45; Milling=0.38; Assembly=0.36; Storage=0.31,,Assembly,9.14074074074074,649.0,428430.5,29.726210837082963,150.0,45997.5,105112.6841688808,154457.3533099217,30.527415297020028,"P2: No production zone stands out; inspect incoming material and handling before adjusting any process. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A + B combined (profit +154,457, margin +6.8 pts).",,,,,,0.0,0.44993357392986916,,0.37942297376788914,,0.35789411596507525,,0.31267304562771153,
1262,BATCH_1262,dataset_small_final\test\scratch\scratch_00239.png,scratch,REJECT,scratch,scratch,0.9999995957436216,0.9999999517804015,0.9999993507119759,4.2038292189171836e-06,0.999999643963203,False,Defect probability at or above the auto-reject threshold.,1.0,No clear contributing zone,Low,NOT_CLEAR,No production zone deviates strongly from the historical baseline.,Drilling=0.48; Milling=0.80; Assembly=0.86; Storage=0.01,,Assembly,2.3207670516452388,257.0,814665.75,37.01499267915621,62.50000000000001,24877.875,0.0,24877.875,35.89115578540416,"P2: No production zone stands out; inspect incoming material and handling before adjusting any process. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +24,878, margin +0.8 pts).",,,,,,0.0,0.4849273074718602,,0.8044656920368938,,0.8630839482227933,,0.012735407562383838,
1420,BATCH_1420,dataset_small_final\test\scratch\scratch_01497.png,scratch,REJECT,scratch,scratch,0.9999812939149014,0.9999983774322186,0.9999673847421714,0.00014803715851034787,0.9999829164549636,False,Defect probability at or above the auto-reject threshold.,1.0,No clear contributing zone,Low,NOT_CLEAR,No production zone deviates strongly from the historical baseline.,Drilling=0.79; Milling=0.64; Assembly=0.90; Storage=0.00,,Assembly,1.6411745003907556,216.0,809946.5,37.448025873209254,62.50000000000001,24447.75,0.0,24447.75,36.222838537269624,"P2: No production zone stands out; inspect incoming material and handling before adjusting any process. | P2: Production flow is constrained at Assembly (1191 runs at >=90% utilization). Balance the line or add assembly capacity and limit upstream release to cap work-in-process. | P3: Simulated best lever for this run: A: defects -50% (profit +24,448, margin +0.8 pts).",,,,,,0.0,0.7871711238262119,,0.64081246619239,,0.8978104291566379,,0.0,
