Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization,WIP_Stored,Drilling_Util_Pct,Milling_Util_Pct,Assembly_Util_Pct,Drilling_Score,Milling_Score,Assembly_Score,Bottleneck_Zone,Bottleneck_Score,Throughput_Gap,Throughput_Loss_Percent
7,4921,3.001686,0.028374,1.52469,15,5138,3.001738,0.00226,32.317876,232,4906,3.007488,0.178454,0.341792,0.267625,0.512982,247.0,34.1792,26.7625,51.29820000000001,0.34219154683666464,0.2683018023305958,0.573673600055912,Assembly,0.573673600055912,15,0.30481609428977846
13,2160,2.996812,0.0,15.424312,6,2265,2.990346,0.0,16.641485,111,2154,3.020345,0.0,0.149739,0.117389,0.225907,117.0,14.9739,11.7389,22.5907,0.149739,0.117389,0.22590699999999997,Assembly,0.22590699999999997,6,0.2777777777777778
3,2214,2.99685,0.0,2.548998,14,2241,2.985284,0.0,10.723775,41,2200,3.002305,0.0,0.15331,0.116007,0.230056,55.0,15.331,11.6007,23.0056,0.15331,0.116007,0.230056,Assembly,0.230056,14,0.6323396567299007
10,5688,3.014338,0.072612,0.156063,53,6056,3.006632,0.012824,58.827262,421,5635,2.99452,0.329992,0.395501,0.315421,0.586787,474.0,39.5501,31.5421,58.67869999999999,0.39652348166997564,0.31926140402104436,0.699016159815137,Assembly,0.699016159815137,53,0.9317862165963432
9,12444,2.992463,4.312082,134.594359,2885,12699,2.998766,1.118083,163.426465,3140,9559,2.996595,2.905791,0.855678,0.660039,0.995767,6025.0,85.5678,66.0039,99.5767,0.9163983327884098,0.9948713806192562,1.9840166621990443,Assembly,1.9840166621990443,2885,23.183863709418194
6,4344,3.002647,0.010083,34.012687,15,4440,2.989268,0.000709,6.040711,111,4329,2.997195,0.118102,0.301596,0.230234,0.450989,126.0,30.159599999999998,23.0234,45.0989,0.30173798318016803,0.2304463242709701,0.49115508957940596,Assembly,0.49115508957940596,15,0.3453038674033149
2,1484,3.000951,0.0,49.167148,42,1446,3.005436,0.0,1.19044,4,1442,3.006816,0.0,0.103037,0.075335,0.15055,46.0,10.303700000000001,7.5335,15.055,0.103037,0.075335,0.15055,Assembly,0.15055,42,2.8301886792452833
6,4452,3.003074,0.010916,20.762189,201,4272,3.005985,0.000273,0.270143,21,4251,3.00291,0.07978,0.309447,0.222588,0.443725,222.0,30.944700000000005,22.2588,44.372499999999995,0.3096007130213939,0.22266975532577551,0.4708579073736685,Assembly,0.4708579073736685,201,4.514824797843666
17,10880,2.998147,2.840057,89.294724,1342,12087,2.998391,0.740226,136.116087,2549,9538,2.997316,2.898592,0.754237,0.628347,0.993782,3891.0,75.42370000000001,62.8347,99.3782,0.7942290980579806,0.8500225229945089,1.9795833067191866,Assembly,1.9795833067191866,1342,12.334558823529413
4,6471,3.002582,0.122692,2.976487,39,6471,2.998705,0.017229,14.240041,39,6432,2.99527,0.553202,0.449556,0.336812,0.670091,78.0,44.955600000000004,33.6812,67.0091,0.45128368028773014,0.3419715696255905,0.8582331236516445,Assembly,0.8582331236516445,39,0.602688919796013
4,2896,3.003175,0.0,0.966012,8,2964,3.005347,0.0,30.937608,76,2888,3.004008,0.001668,0.201059,0.154311,0.301293,84.0,20.1059,15.4311,30.129299999999997,0.201059,0.154311,0.3018602811418811,Assembly,0.3018602811418811,8,0.2762430939226519
2,8388,2.998351,0.483585,9.204625,136,8292,3.003483,0.103494,7.618948,40,8252,2.99002,1.638816,0.582214,0.431418,0.857151,176.0,58.2214,43.1418,85.7151,0.5890235741526908,0.46241135416047763,1.4145067624778895,Assembly,1.4145067624778895,136,1.6213638531235097
11,7700,3.001519,0.398978,39.243106,61,7700,2.996654,0.104889,2.797306,61,7639,2.998147,1.418421,0.534993,0.399782,0.796389,122.0,53.499300000000005,39.9782,79.6389,0.5406111855853517,0.43119311489108875,1.2787891705924586,Assembly,1.2787891705924586,61,0.7922077922077922
5,3525,3.00657,0.001283,3.772165,25,3805,3.00024,0.0,25.509468,305,3500,3.011991,0.013375,0.245161,0.197376,0.366964,330.0,24.516099999999998,19.7376,36.696400000000004,0.24517906649014734,0.197376,0.37151279212989247,Assembly,0.37151279212989247,25,0.7092198581560284
17,11985,3.002511,3.175336,169.462444,2435,11900,3.002922,0.743024,136.584144,2350,9550,2.993077,2.916127,0.832491,0.619099,0.993693,4785.0,83.2491,61.90989999999999,99.36930000000001,0.8772043098663285,0.8416124402161934,1.9854579007377036,Assembly,1.9854579007377036,2435,20.317062995410932
3,2160,2.997298,0.0,13.773263,108,2067,3.001697,0.0,9.462253,15,2052,3.000259,0.0,0.149636,0.107519,0.214149,123.0,14.9636,10.751900000000001,21.4149,0.149636,0.107519,0.214149,Assembly,0.214149,108,5.0
