Zone,Utilization_Range,Average_Waiting_Time
Drilling,<50%,0.04236049791955617
Drilling,50-60%,0.4452654299674267
Drilling,60-70%,0.9297483741496598
Drilling,70-80%,1.9505935186335401
Drilling,80-90%,4.426195966463415
Drilling,90-95%,9.724811274725274
Drilling,95-100%,24.528624776
Milling,<50%,0.04197774935930292
Milling,50-60%,0.42989805275779375
Milling,60-70%,0.9630861977011494
Milling,70-80%,1.6836945897435898
Milling,80-90%,3.229951
Milling,90-95%,
Milling,95-100%,
Assembly,<50%,0.028677951595159516
Assembly,50-60%,0.2903746296296296
Assembly,60-70%,0.593423802955665
Assembly,70-80%,1.0986668307692307
Assembly,80-90%,1.7625694698275862
Assembly,90-95%,2.3177463124999997
Assembly,95-100%,2.8666993679332715
